ten_quan,dia_chi,gio
Ốc Phố Tên Lửa,"167 Đ. Tên Lửa, An Lạc, Hồ Chí Minh 700000",—
Ốc Su,"131 Đ. Tên Lửa, An Lạc",—
Ốc Đạt (241 Tên Lửa),"241 Đ. Tên Lửa, An Lạc",—
Bò chảo - Lẩu tá lả Thủ Đức,"959c Kha Vạn Cân, Linh Xuân, Hồ Chí Minh 700000",11:00-23:00
Dê Núi Hoa Cà,"403 Kha Vạn Cân, Hiệp Bình, Hồ Chí Minh 71300",9:00-22:30
HẢI SẢN KIÊN GIANG | QUÁN NHẬU NGON THỦ ĐỨC,"1300 Đ. Phạm Văn Đồng, Linh Xuân",15:00-3:00
Hải sản Út Linh 1,"529 Kha Vạn Cân, Thủ Đức, Hồ Chí Minh 700000",24/7
JITO BEER GARDEN,"26 Bác Ái, Thủ Đức, Hồ Chí Minh 71300",7:30-23:00
Lá đỏ quán,"423 Kha Vạn Cân, Hiệp Bình",24/7
Lẩu bò Nhà Gỗ Sài Gòn,"467 Kha Vạn Cân, Thủ Đức",11:30-23:30
Mê Nướng | Lẩu & Nướng Thủ Đức | Quán Nhậu Thủ Đức,"120 Dương Đình Hội, Phước Long, Hồ Chí Minh 700000",11:00-23:00
Nhà Hàng Hải Sản Thiên Nhiên,"1072 Kha Vạn Cân, Thủ Đức, Hồ Chí Minh 700000",7:30-23:00
Panda BBQ (Phạm Văn Đồng),"600 Đ. Phạm Văn Đồng, KP3, Hiệp Bình",—
Quán Bạn Tôi,"226/25 Đ. Số 8, Linh Xuân",9:00-22:00
Quán Nhậu Tư Ếch,"62a Đường số 47, Hiệp Bình, Hồ Chí Minh 720300",14:00-0:00
Quán nhậu Tới Bến,"7 Số 8, Thủ Đức",10:00-1:30
VƯỜN ẨM THỰC ĐỒNG QUÊ | QUÁN NHẬU LINH ĐÔNG,"15/1 Đường Số 37, Thủ Đức, Hồ Chí Minh 70000",10:00-23:00
503 FOOD GARDEN - 35 Phạm Văn Đồng,"35 Đ. Phạm Văn Đồng, Gò Vấp",15:00-3:00
BA GÁC Vietnamese Grill & Beer Garden Quang Trung,"1 Quang Trung, Gò Vấp",16:00-0:00
Chú Em Quán 2 | quán nhậu đêm Gò Vấp,"487 Nguyễn Văn Khối, Thông Tây Hội",16:00-3:00
GABIA Quán - Quán nhậu Gò Vấp,"159 Đ. Phạm Văn Đồng, Hạnh Thông, Hồ Chí Minh 71408",16:30-2:00
Gà nướng lu Việt Hương 2,"20 Đ. Phạm Văn Đồng, Hạnh Thông",9:30-23:10
Khói quán (Quang Trung),"1040 Quang Trung, Thông Tây Hội",14:00-1:00
Lò đất BBQ Gò Vấp,"922 Quang Trung, Thông Tây Hội, Hồ Chí Minh 710000",16:00-23:00
One Garden,"181 Quang Trung, Gò Vấp",17:00-3:00
